Reviewer,Date of Review,Name,Giant Bomb Score
Jeff,2008-05-23 13:00:00,SingStar,4
Jeff,2008-05-20 17:00:00,Haze,2
Brad,2008-06-20 12:00:00,Metal Gear Solid 4: Guns of the Patriots,5
Jeff,2008-02-29 12:00:00,Poker Smash,4
Jeff,2008-07-06 12:00:00,Battlefield: Bad Company,5
Brad,2008-07-02 12:00:00,LEGO Indiana Jones: The Original Adventures,3
Ryan,2008-07-02 12:00:00,Robert Ludlum's The Bourne Conspiracy,3
Jeff,2008-03-01 12:00:00,Burnout Paradise,5
Jeff,2008-03-07 10:00:00,Professor Layton and the Curious Village,5
Jeff,2008-03-13 15:00:00,Super Smash Bros. Brawl,4
Jeff,2008-03-16 20:00:00,Army of Two,3
Jeff,2008-03-22 10:00:00,Rocketmen: Axis of Evil,2
Ryan,2008-03-26 13:00:00,Bully: Scholarship Edition,4
Jeff,2008-03-27 13:00:00,Tom Clancy's Rainbow Six: Vegas 2,4
Ryan,2008-03-27 16:00:00,Condemned 2: Bloodshot,5
Jeff,2008-03-31 11:00:00,TiQal,2
Jeff,2008-04-01 14:00:00,Viking: Battle for Asgard,3
Ryan,2008-04-03 18:00:00,Hot Shots Golf: Out of Bounds,3
Ryan,2008-04-07 18:00:00,Mr. Driller Online,2
Jeff,2008-04-21 13:00:00,Ikaruga,4
Jeff,2008-05-21 14:00:00,Rocky & Bullwinkle,2
Jeff,2008-04-25 15:00:00,Dark Sector,2
Jeff,2008-04-28 10:00:00,NBA Ballers: Chosen One,2
Ryan,2008-05-05 16:00:00,Gran Turismo 5 Prologue,3
Jeff,2008-05-05 16:00:00,Grand Theft Auto IV,5
Ryan,2008-05-07 16:00:00,Mario Kart Wii,3
Jeff,2008-05-07 17:00:00,Target: Terror,2
Jeff,2008-05-12 18:00:00,Boom Blox,4
Ryan,2008-05-18 15:00:00,Defend Your Castle,3
Ryan,2008-05-22 18:00:00,Penny Arcade Adventures: On the Rain-Slick Precipice of Darkness - Episode One,4
Jeff,2008-06-10 16:00:00,SNK Arcade Classics V.1,3
Jeff,2008-06-17 17:00:00,Wolf of the Battlefield: Commando 3,2
Jeff,2008-06-24 13:00:00,Wii Fit,3
Jeff,2008-07-25 15:00:00,Soulcalibur,2
Vinny,2008-07-28 11:00:00,Dragon Ball Z: Burst Limit,3
Jeff,2008-07-30 16:00:00,Geometry Wars: Retro Evolved 2,5
Ryan,2008-07-31 23:00:00,Sid Meier's Civilization Revolution,4
Ryan,2008-08-01 18:00:00,Guitar Hero: Aerosmith,2
Jeff,2008-08-06 13:00:00,Unreal Tournament 3,3
Jeff,2008-08-07 15:00:00,Soulcalibur IV,3
Ryan,2009-11-25 08:00:00,Braid,5
Ryan,2008-08-13 17:00:00,Strong Bad's Cool Game for Attractive People Episode 1: Homestar Ruiner,3
Jeff,2008-08-15 15:00:00,Bionic Commando Rearmed,5
Ryan,2008-08-18 16:00:00,Fable II Pub Games,1
Jeff,2008-08-18 18:00:00,Too Human,3
Brad,2008-08-21 14:00:00,Space Siege,3
Jeff,2008-08-20 14:00:00,1942: Joint Strike,3
Jeff,2008-08-25 11:00:00,Galaga Legions,3
Vinny,2008-08-25 17:00:00,Ratchet & Clank Future: Quest for Booty,3
Brad,2008-09-03 18:00:00,Viva Piñata: Trouble in Paradise,4
Ryan,2008-09-03 16:00:00,Castle Crashers,4
Jeff,2008-09-03 22:00:00,The Last Guy,3
Ryan,2008-09-05 18:00:00,Mercenaries 2: World in Flames,3
Brad,2008-09-08 19:00:00,Spore,4
Jeff,2008-09-12 16:00:00,TNA iMPACT!,3
Jeff,2008-09-13 23:00:00,Rock Band 2,5
Jeff,2008-09-15 16:00:00,Star Wars: The Force Unleashed,3
Ryan,2008-09-18 10:00:00,Strong Bad's Cool Game for Attractive People Episode 2: Strong Badia The Free,4
Jeff,2008-09-23 16:00:00,Samurai Shodown II,4
Ryan,2008-09-26 11:00:00,Mario Super Sluggers,2
Jeff,2008-09-26 16:00:00,Pure,4
Ryan,2008-09-29 17:00:00,WipEout HD,4
