User Review Score,Date of Review,Name,Game Id,User Reviewer
5,2008-07-14 21:49:21,Famicom Mini: Pac-Man,3030-7624,snide
5,2008-07-20 01:09:02,Icewind Dale II (Collector's Edition),3030-8890,snide
4,2008-07-21 00:34:06,Gauntlet Legends,3030-12245,joseppie
5,2008-07-21 00:36:10,MVP Baseball 2005,3030-9978,joseppie
4,2008-07-21 00:44:42,Need for Speed: Most Wanted,3030-12976,joseppie
5,2008-07-21 00:49:38,Grand Theft Auto IV,3030-20457,toriko
5,2008-07-21 00:51:31,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,star_wars117
4,2008-07-21 00:53:41,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,microwavedapple
5,2008-07-21 00:54:52,Gears of War (Limited Collector's Edition),3030-12231,star_wars117
4,2008-07-21 00:56:51,Mario Kart Wii,3030-20645,cann3dheat
3,2008-07-21 00:57:03,Deadliest Catch: Alaskan Storm,3030-20740,artg
3,2008-07-21 00:57:04,Battlefield 2142: Deluxe Edition,3030-17828,star_wars117
4,2008-07-21 00:57:06,Tsumi to Batsu: Hoshi no Keishōsha,3030-7393,pepsiman
4,2008-07-21 00:58:45,Vib-Ribbon,3030-15057,pepsiman
5,2008-07-21 00:58:54,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,artg
3,2008-07-21 01:00:09,Sneak King,3030-20670,star_wars117
5,2008-07-21 01:00:14,Ōkami,3030-20555,pepsiman
5,2008-07-21 01:00:17,Battlefield: Bad Company,3030-20655,chase
1,2008-07-21 01:01:24,Grand Theft Auto: Liberty City Stories,3030-6731,star_wars117
3,2008-07-21 01:03:38,Red Steel,3030-7712,star_wars117
4,2008-07-21 01:06:05,Just Cause,3030-18163,indieboy
5,2008-07-21 01:06:50,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,rearmed
5,2008-07-21 01:08:03,ICO,3030-9638,pepsiman
1,2008-07-21 01:08:15,Starship Troopers (Special Edition),3030-11223,star_wars117
4,2008-07-21 01:08:31,Geometry Wars: Retro Evolved,3030-11099,powicewobots
4,2008-07-21 01:09:03,Dark Messiah of Might & Magic ,3030-15065,star_wars117
4,2008-07-21 01:09:04,Civilization Revolution,3030-20580,artg
4,2008-07-21 01:09:32,Unreal Tournament III,3030-10955,senior_waffles
4,2008-07-21 01:12:06,Actraiser,3030-7274,ruukie
5,2008-07-21 01:13:56,Grand Theft Auto IV,3030-20457,thatguy0130
2,2008-07-21 01:13:59,Far Cry,3030-14782,star_wars117
4,2008-07-21 01:14:38,Metal Gear Solid: The Twin Snakes,3030-9594,lordofultima
4,2008-07-21 01:15:48,Tom Clancy's Ghost Recon: Advanced Warfighter,3030-2397,star_wars117
5,2008-07-21 01:16:30,Zelda no Densetsu: Toki no Ocarina,3030-12572,materialize
5,2008-07-21 01:17:03,Half-Life 2,3030-1539,powicewobots
4,2008-07-21 01:17:55,Jade Empire: Special Edition,3030-8580,star_wars117
5,2008-07-21 01:18:40,Mass Effect (Limited Collector's Edition),3030-16909,hexogen
4,2008-07-21 01:18:49,Grand Theft Auto: Vice City Stories,3030-10264,star_wars117
4,2008-07-21 01:19:53,Medal of Honor: Pacific Assault,3030-1869,star_wars117
3,2008-07-21 01:20:39,Halo: Combat Evolved,3030-2600,star_wars117
5,2008-07-21 01:21:49,S.T.A.L.K.E.R.: Shadow of Chernobyl,3030-11725,star_wars117
3,2008-07-21 01:23:17,Area-51,3030-4301,star_wars117
5,2008-07-21 01:31:54,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,bill
3,2008-07-21 01:32:44,Lego Indiana Jones: The Original Adventures,3030-20534,thatguy0130
1,2008-07-21 01:36:39,Hikari Shinwa: Palutena no Kagami,3030-15154,lies
5,2008-07-21 01:36:47,God of War,3030-6959,kratos
2,2008-07-21 01:41:09,Coded Arms,3030-5764,lies
4,2008-07-21 01:42:29,Ninja Gaiden Sigma (Collector's Edition),3030-18546,thegamergeek
3,2008-07-21 01:44:06,Civilization Revolution,3030-20580,rj
5,2008-07-21 01:45:10,Assassin's Creed (Limited Edition),3030-2950,thatguy0130
5,2008-07-21 01:48:09,StarCraft,3030-13062,indieboy
5,2008-07-21 01:50:46,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,thatguy0130
5,2008-07-21 01:54:04,Metal Gear Solid 4: Guns of the Patriots (Limited Edition),3030-20669,davef
5,2008-07-21 01:56:58,Grand Theft Auto IV,3030-20457,davef
5,2008-07-21 01:58:11,Rock Band,3030-9860,thatguy0130
5,2008-07-21 01:58:39,Dragon Ball: Advance Adventure,3030-9872,tec3297
4,2008-07-21 01:59:52,Fahrenheit,3030-2494,pepsiman
5,2008-07-21 02:01:20,Battlefield: Bad Company,3030-20655,shadow2k6
5,2008-07-21 02:16:58,Condemned 2: Bloodshot,3030-20465,joker
3,2008-07-21 02:19:22,Army of Two,3030-20479,perryvandell
3,2008-07-21 02:20:44,Guitar Hero III: Legends of Rock,3030-4031,thatguy0130
5,2008-07-21 02:22:07,Lost Odyssey,3030-2719,crack_rabbit
5,2008-07-21 02:35:08,Call of Duty 4: Modern Warfare,3030-2133,thatguy0130
5,2008-07-21 02:39:35,Garry's Mod,3030-20617,svcheats1
5,2008-07-21 02:42:11,Silent Hill: 0rigins,3030-14392,dawnclover
5,2008-07-21 02:43:24,Grand Theft Auto IV,3030-20457,unworthybozo
4,2008-07-21 02:43:59,Black,3030-8369,dogsounds
5,2008-07-21 02:44:23,Super Smash Bros. Brawl,3030-20588,phantom
2,2008-07-21 02:48:51,Devil May Cry: 5th Anniversary Collection,3030-16741,ruukie
5,2008-07-21 02:50:36,Savage 2: A Tortured Soul,3030-11254,elliooo
5,2008-07-21 03:07:58,Team Fortress 2 (Retail Standalone),3030-18162,monk
4,2008-07-21 03:10:30,Devil May Cry 4,3030-6681,unworthybozo
5,2008-07-21 03:12:17,Master of Orion II: Battle at Antares,3030-14956,binarydragon
5,2008-07-21 03:18:58,Project Gotham Racing 3,3030-19809,bennyishere
5,2008-07-21 03:29:30,Grand Theft Auto IV,3030-20457,bwooduhs
5,2008-07-21 03:32:38,Tom Clancy's Splinter Cell: Double Agent,3030-457,bennyishere
4,2008-07-21 03:32:43,Rogue Galaxy,3030-7940,thatguy0130
5,2008-07-21 03:34:38,Ninja Gaiden II,3030-20553,bennyishere
3,2008-07-21 03:34:42,LEGO Indiana Jones: The Original Adventures,3030-20534,bwooduhs
3,2008-07-21 03:35:34,Assassin's Creed (Limited Edition),3030-2950,roborobb
1,2008-07-21 03:37:58,BioShock (Limited Edition),3030-17280,aquaman
4,2008-07-21 03:38:25,Burnout Revenge,3030-16492,bennyishere
3,2008-07-21 03:40:13,Guitar Hero Encore: Rocks the 80s,3030-12241,thatguy0130
